"Degree_resistance","Access","eir","half_life","Vaccine_type","Age","Blood_clerance","Seasonality","time_0.1","time_UP","time_LOW"
1,0.1,5,1.5,"AIV","Children",0,"Perenial",34.4404757768586,32.0268666008622,37.2475242270879
0,0.1,50,1.5,"AIV","Children",0,"Perenial",NA,NA,NA
0.25,0.1,50,1.5,"AIV","Children",0,"Perenial",53.3873588974029,50.3920340096323,56.7612742548296
0.5,0.1,50,1.5,"AIV","Children",0,"Perenial",31.6848245048976,30.7779519049693,32.6467615974144
0.75,0.1,50,1.5,"AIV","Children",0,"Perenial",24.6967180779283,23.9197356068978,25.5258725404885
1,0.1,50,1.5,"AIV","Children",0,"Perenial",21.0294886339252,20.4050784583203,21.6933199313877
0,0.3,5,1.5,"AIV","Children",0,"Perenial",NA,NA,NA
0.25,0.3,5,1.5,"AIV","Children",0,"Perenial",123.646203953432,102.933287532174,154.79509629835
0.5,0.3,5,1.5,"AIV","Children",0,"Perenial",65.2220845306134,60.7264784706368,70.4365296546151
0.75,0.3,5,1.5,"AIV","Children",0,"Perenial",50.9563687563363,48.6416414091615,53.5024071157054
1,0.3,5,1.5,"AIV","Children",0,"Perenial",42.2164665543028,39.265768772622,45.6466686938843
0,0.3,50,1.5,"AIV","Children",0,"Perenial",NA,NA,NA
0.25,0.3,50,1.5,"AIV","Children",0,"Perenial",69.1693720498168,64.562669535142,74.4839843560712
0.5,0.3,50,1.5,"AIV","Children",0,"Perenial",39.4748996631862,38.33066575935,40.6895501765951
0.75,0.3,50,1.5,"AIV","Children",0,"Perenial",29.8196095269324,28.9634028397056,30.7279800719324
1,0.3,50,1.5,"AIV","Children",0,"Perenial",24.6341123006313,23.9021586178771,25.4123112535675
0,0.1,5,1,"BSV","Children",0,"Perenial",NA,NA,NA
0.25,0.1,5,1,"BSV","Children",0,"Perenial",52.1627333778401,43.7322148936944,64.6198935897357
0.5,0.1,5,1,"BSV","Children",0,"Perenial",35.4847246165342,32.4170466821296,39.1936870698751
0.75,0.1,5,1,"BSV","Children",0,"Perenial",31.1509099743716,28.7948490470241,33.9268859952737
1,0.1,5,1,"BSV","Children",0,"Perenial",25.8199206943349,22.9882258896455,29.4472380625605
0,0.1,50,1,"BSV","Children",0,"Perenial",NA,NA,NA
0.25,0.1,50,1,"BSV","Children",0,"Perenial",30.2550301057076,27.8026388035657,33.1819116942645
0.5,0.1,50,1,"BSV","Children",0,"Perenial",19.8203457397131,19.1051482682256,20.5911722260769
0.75,0.1,50,1,"BSV","Children",0,"Perenial",16.9183518953876,16.0802882588988,17.8485740817212
1,0.1,50,1,"BSV","Children",0,"Perenial",15.4659672301075,14.343946795326,16.7784182907657
0,0.3,5,1,"BSV","Children",0,"Perenial",NA,NA,NA
0.25,0.3,5,1,"BSV","Children",0,"Perenial",108.899035234262,82.3450957736413,160.729801614269
0.5,0.3,5,1,"BSV","Children",0,"Perenial",59.3290430981142,50.446762106249,72.0075902048544
0.75,0.3,5,1,"BSV","Children",0,"Perenial",45.8362300831975,39.9925418170472,53.6799089201026
1,0.3,5,1,"BSV","Children",0,"Perenial",39.0930876542634,34.6500767722501,44.8431003993122
0,0.3,50,1,"BSV","Children",0,"Perenial",NA,NA,NA
0.25,0.3,50,1,"BSV","Children",0,"Perenial",44.7117621855586,41.1132949864576,49.0005679492615
0.5,0.3,50,1,"BSV","Children",0,"Perenial",26.7432027084628,25.6403548588061,27.9451864140187
0.75,0.3,50,1,"BSV","Children",0,"Perenial",21.7142680914063,20.3663614060904,23.253236822403
1,0.3,50,1,"BSV","Children",0,"Perenial",20.4535602219476,18.8008954006488,22.4247769776771
0,0.1,5,1.5,"BSV","Children",0,"Perenial",NA,NA,NA
0.25,0.1,5,1.5,"BSV","Children",0,"Perenial",44.3780243043892,38.4690009160901,52.4318008562102
0.5,0.1,5,1.5,"BSV","Children",0,"Perenial",30.4974231111647,28.4880047589947,32.811824671426
0.75,0.1,5,1.5,"BSV","Children",0,"Perenial",26.7422393319195,24.9224691183503,28.8486915166161
1,0.1,5,1.5,"BSV","Children",0,"Perenial",22.9391938794288,20.8997348354596,25.4197274058725
0,0.1,50,1.5,"BSV","Children",0,"Perenial",NA,NA,NA
0.25,0.1,50,1.5,"BSV","Children",0,"Perenial",26.4049776802687,24.6011753019799,28.4942254939426
