"L","M","U","G","Vaccine_type","Range"
0.0765692127787032,0.0971536638546182,0.120101094522434,"Degree_resistance","AIV",0.931034482758621
0.0790464046854778,0.100122511709717,0.123932082791254,"Degree_resistance","AIV",0.96551724137931
NA,NA,NA,"Degree_resistance","AIV",1
0.036946973450877,0.0670498622916132,0.0993258988574555,"Access","AIV",10
0.0357657014571987,0.0661913950101334,0.0984097781218451,"Access","AIV",12.4137931034483
0.035591045669937,0.0654405377342814,0.096426785395641,"Access","AIV",14.8275862068966
0.0345201331406508,0.0628984988425911,0.094269893290042,"Access","AIV",17.2413793103448
0.0336602719257031,0.0625292657664362,0.0936082000970391,"Access","AIV",19.6551724137931
0.0325371130929155,0.0614275687572252,0.0927169829705816,"Access","AIV",22.0689655172414
0.0326444531199806,0.0608348077680927,0.0915091898570191,"Access","AIV",24.4827586206897
0.03191295426327,0.0604356920772533,0.0915991029734282,"Access","AIV",26.8965517241379
0.0315479640137416,0.059092332779179,0.0900317370175538,"Access","AIV",29.3103448275862
0.0315388850556554,0.0596040528979774,0.0897957855176607,"Access","AIV",31.7241379310345
0.0321467140845062,0.0596025910263051,0.0889943017279039,"Access","AIV",34.1379310344828
0.0307008507945917,0.0587500005481454,0.0880971632871632,"Access","AIV",36.551724137931
0.0312778312551852,0.0583219718232072,0.0864086277342234,"Access","AIV",38.9655172413793
0.0293727732516069,0.0559032628917086,0.0846002524900141,"Access","AIV",41.3793103448276
0.0289840032074682,0.0556367895959477,0.0845033925528622,"Access","AIV",43.7931034482759
0.0281503798876252,0.0543992719421452,0.0828804913221099,"Access","AIV",46.2068965517241
0.0288779897957387,0.0543329459305245,0.0825663863453816,"Access","AIV",48.6206896551724
0.0277748411177959,0.0536519311208102,0.0820774240941493,"Access","AIV",51.0344827586207
0.0288917805763536,0.0540326329816307,0.0810661191450054,"Access","AIV",53.448275862069
0.0282261295826497,0.053325011436128,0.0808779366600945,"Access","AIV",55.8620689655172
0.0280859299416566,0.0526394132639674,0.0806448155957322,"Access","AIV",58.2758620689655
0.0268557677390695,0.0518086138247034,0.0793830252625409,"Access","AIV",60.6896551724138
0.0272172483398876,0.0518913679173074,0.0787899310586985,"Access","AIV",63.1034482758621
0.026167086156077,0.0502716448723371,0.0774731661794052,"Access","AIV",65.5172413793103
0.0264309875747802,0.0505063915748694,0.0766834419007645,"Access","AIV",67.9310344827586
0.0247991946641519,0.0483583893254763,0.0750657142879301,"Access","AIV",70.3448275862069
0.024718459646423,0.0485860847404078,0.0742217598891827,"Access","AIV",72.7586206896552
