"Vaccine_type","half_life","Degree_resistance","Access","eir","seasonality","Age","Blood_coverage","IR"
"PEV",1.5,"1",0.1,150,"sesonality2","Children","0",11.2303286427305
"BSV",1.5,"1",0.1,150,"sesonality2","Children","0",19.305255000627
"PEV",1,"0",0.3,150,"sesonality2","Children","0",29.0444889381465
"BSV",1,"0",0.3,150,"sesonality2","Children","0",38.6893868038969
"PEV",1,"0",0.3,150,"sesonality2","Children","0",35.5525470540147
"BSV",1,"0",0.3,150,"sesonality2","Children","0",46.7083281249417
"PEV",1.5,"0",0.3,150,"sesonality2","Children","0",33.2978802610123
"BSV",1.5,"0",0.3,150,"sesonality2","Children","0",44.5318682224966
"PEV",1.5,"0",0.3,150,"sesonality2","Children","0",40.7088382000789
"BSV",1.5,"0",0.3,150,"sesonality2","Children","0",53.9777154193584
"PEV",1,"0.25",0.3,150,"sesonality2","Children","0",23.390032487381
"BSV",1,"0.25",0.3,150,"sesonality2","Children","0",30.2879262567896
"PEV",1,"0.25",0.3,150,"sesonality2","Children","0",28.1173028471237
"BSV",1,"0.25",0.3,150,"sesonality2","Children","0",36.2052382733388
"PEV",1.5,"0.25",0.3,150,"sesonality2","Children","0",26.6996651755856
"BSV",1.5,"0.25",0.3,150,"sesonality2","Children","0",34.6220923505505
"PEV",1.5,"0.25",0.3,150,"sesonality2","Children","0",31.8667519998425
"BSV",1.5,"0.25",0.3,150,"sesonality2","Children","0",41.2882114495601
"PEV",1,"0.5",0.3,150,"sesonality2","Children","0",18.4538874853986
"BSV",1,"0.5",0.3,150,"sesonality2","Children","0",24.0917854262251
"PEV",1,"0.5",0.3,150,"sesonality2","Children","0",21.8171688790703
"BSV",1,"0.5",0.3,150,"sesonality2","Children","0",27.1349454035675
"PEV",1.5,"0.5",0.3,150,"sesonality2","Children","0",20.803957528616
"BSV",1.5,"0.5",0.3,150,"sesonality2","Children","0",27.3789390582395
"PEV",1.5,"0.5",0.3,150,"sesonality2","Children","0",25.0651822785049
"BSV",1.5,"0.5",0.3,150,"sesonality2","Children","0",30.6943787431925
"PEV",1,"0.75",0.3,150,"sesonality2","Children","0",14.4045988156991
"BSV",1,"0.75",0.3,150,"sesonality2","Children","0",19.6699514261274
"PEV",1,"0.75",0.3,150,"sesonality2","Children","0",17.184327985913
"BSV",1,"0.75",0.3,150,"sesonality2","Children","0",21.9005578764953
"PEV",1.5,"0.75",0.3,150,"sesonality2","Children","0",16.3407918570442
"BSV",1.5,"0.75",0.3,150,"sesonality2","Children","0",22.099682910015
"PEV",1.5,"0.75",0.3,150,"sesonality2","Children","0",19.215907951242
"BSV",1.5,"0.75",0.3,150,"sesonality2","Children","0",24.1192325113645
