"Test_True","Test_predicted","seasonality","Coverage_reduced","Vaccine_type","Drug"
0.243465906671263,0.239725083938314,"sesonality2","0.2","BSV","No"
0.208971783134434,0.21864076579476,"sesonality2","0.2","BSV","No"
0.208165610396153,0.220303751942695,"sesonality2","0.2","BSV","No"
0.217456569626968,0.204331127849464,"sesonality2","0.2","BSV","No"
0.212106102058347,0.212762362494541,"sesonality2","0.2","BSV","No"
0.184674150917532,0.185078828385379,"sesonality2","0.2","BSV","No"
0.218131395637915,0.219779718303221,"sesonality2","0.2","BSV","No"
0.249627380423643,0.245093625279379,"sesonality2","0.2","BSV","No"
0.180877751504837,0.176001491937308,"sesonality2","0","BSV","No"
0.147330172516132,0.141148011248231,"sesonality2","0","BSV","No"
0.0457871003841067,0.0468064912351213,"sesonality2","0","BSV","No"
0.110603174648909,0.113818037821776,"sesonality2","0","BSV","No"
0.136815709825559,0.132400079116474,"sesonality2","0","BSV","No"
0.212801487425103,0.208274370792987,"sesonality2","0","BSV","No"
0.141544139421195,0.146972953010252,"sesonality2","0","BSV","No"
0.175872263959498,0.180897322901959,"sesonality2","0","BSV","No"
0.0898847589338086,0.0862135495070272,"sesonality2","0","BSV","No"
0.0787580384213372,0.0780826219962079,"sesonality2","0","BSV","No"
0.0831936863031354,0.0811765648194751,"sesonality2","0","BSV","No"
0.190870201477838,0.186200128023605,"sesonality2","0","BSV","No"
0.00568664065369559,0.00344575302201626,"sesonality2","0","BSV","No"
0.20825864094178,0.211257903496863,"sesonality2","0","BSV","No"
0.166386702972803,0.168234949593655,"sesonality2","0","BSV","No"
0.0892534252236263,0.0927419724815045,"sesonality2","0","BSV","No"
0.0722374604446294,0.0712546118532732,"sesonality2","0","BSV","No"
0.178541770453002,0.172615022917137,"sesonality2","0","BSV","No"
0.130586655463384,0.137251869939343,"sesonality2","0","BSV","No"
0.044527735145216,0.0536909205249486,"sesonality2","0","BSV","No"
0.0957967511059733,0.0978032085274966,"sesonality2","0","BSV","No"
0.128110432686116,0.135366101930882,"sesonality2","0","BSV","No"
0.189837355432763,0.187637578082559,"sesonality2","0","BSV","No"
0.0317495421416132,0.0365807439566061,"sesonality2","0","BSV","No"
0.0418584001735492,0.0432737124376172,"sesonality2","0","BSV","No"
0.142835792156035,0.137788615278773,"sesonality2","0","BSV","No"
0.0774225674337704,0.083290228672005,"sesonality2","0","BSV","No"
0.141476900848118,0.140016306111312,"sesonality2","0","BSV","No"
0.194900665665979,0.197375539756384,"sesonality2","0","BSV","No"
0.137402612974653,0.125465164683484,"sesonality2","0","BSV","No"
0.0633192897831606,0.0682776842685305,"sesonality2","0","BSV","No"
0.152143045405512,0.142133775362997,"sesonality2","0","BSV","No"
0.0428434355589215,0.051972776099371,"sesonality2","0","BSV","No"
0.0282220821795375,0.0348842785178814,"sesonality2","0","BSV","No"
0.0950510666669703,0.0930389214183457,"sesonality2","0","BSV","No"
0.0509356579176683,0.0510437647541662,"sesonality2","0","BSV","No"
0.107077241170683,0.109666053925963,"sesonality2","0","BSV","No"
0.123100344140666,0.118063952421711,"sesonality2","0","BSV","No"
0.0726552083737867,0.0707064112172364,"sesonality2","0","BSV","No"
0.170802501536277,0.166137887187291,"sesonality2","0","BSV","No"
0.148050110523465,0.150625430903925,"sesonality2","0","BSV","No"
0.114806150967597,0.120119908096267,"sesonality2","0","BSV","No"
0.0169907265430612,0.0090762489233705,"sesonality2","0","BSV","No"
0.194645886410251,0.19337225540507,"sesonality2","0","BSV","No"
0.214858491240432,0.224743922288747,"sesonality2","0","BSV","No"
0.0745650925748847,0.0714173662127235,"sesonality2","0","BSV","No"
0.138617210097758,0.132704748693483,"sesonality2","0","BSV","No"
