"Degree_resistance","Access","eir","half_life","Vaccine_type","Age","Blood_clerance","Seasonality","time_0.1","time_UP","time_LOW"
1,0.3,5,1.5,"BSV","Children",0,"Perenial",10.6940289355438,9.6572422498507,11.9802053718436
0,0.3,50,1.5,"BSV","Children",0,"Perenial",NA,NA,NA
0.25,0.3,50,1.5,"BSV","Children",0,"Perenial",11.9404796461987,11.1436718054348,12.8600111909313
0.5,0.3,50,1.5,"BSV","Children",0,"Perenial",7.53808638097472,7.26467967406821,7.83287724144885
0.75,0.3,50,1.5,"BSV","Children",0,"Perenial",6.27895433292508,5.96523097019854,6.62750817104206
1,0.3,50,1.5,"BSV","Children",0,"Perenial",6.06131520633096,5.63317614436327,6.55988721756717
0,0.1,5,1,"BSV","Children",1,"Seasonal",NA,NA,NA
0.25,0.1,5,1,"BSV","Children",1,"Seasonal",16.1450038770651,12.7710631641544,21.9417024061687
0.5,0.1,5,1,"BSV","Children",1,"Seasonal",9.16306615256662,7.89963371098887,10.9075754842589
0.75,0.1,5,1,"BSV","Children",1,"Seasonal",7.54917469563144,6.50891735609265,8.98519089719078
1,0.1,5,1,"BSV","Children",1,"Seasonal",6.76679030781311,5.84151037779236,8.04036267774065
0,0.1,50,1,"BSV","Children",1,"Seasonal",NA,NA,NA
0.25,0.1,50,1,"BSV","Children",1,"Seasonal",8.72994487433819,7.78875813277756,9.92986056719555
0.5,0.1,50,1,"BSV","Children",1,"Seasonal",5.48078045218377,5.14881734987065,5.85849935097057
0.75,0.1,50,1,"BSV","Children",1,"Seasonal",4.62414666303224,4.32560130915309,4.9669572713865
1,0.1,50,1,"BSV","Children",1,"Seasonal",4.28386952500946,3.94890685186419,4.68092501799478
0,0.3,5,1,"BSV","Children",1,"Seasonal",NA,NA,NA
0.25,0.3,5,1,"BSV","Children",1,"Seasonal",28.7495321610966,19.1267214157752,57.8587395806102
0.5,0.3,5,1,"BSV","Children",1,"Seasonal",14.7436845401728,11.7200290996443,19.8699387377025
0.75,0.3,5,1,"BSV","Children",1,"Seasonal",11.6338920804628,9.76963358478972,14.3774155571167
1,0.3,5,1,"BSV","Children",1,"Seasonal",9.89506223903866,8.07320940820858,12.778811858548
0,0.3,50,1,"BSV","Children",1,"Seasonal",NA,NA,NA
0.25,0.3,50,1,"BSV","Children",1,"Seasonal",11.9509326266198,10.6810925238476,13.5634463321097
0.5,0.3,50,1,"BSV","Children",1,"Seasonal",7.23406222079305,6.67080123896197,7.90121541464285
0.75,0.3,50,1,"BSV","Children",1,"Seasonal",5.93846983680666,5.55201556074105,6.38274819016373
1,0.3,50,1,"BSV","Children",1,"Seasonal",5.36970242657502,4.86363288427096,5.99331765280815
0,0.1,5,1.5,"BSV","Children",1,"Seasonal",NA,NA,NA
0.25,0.1,5,1.5,"BSV","Children",1,"Seasonal",15.3959309855094,11.3017706158998,24.1413276343585
0.5,0.1,5,1.5,"BSV","Children",1,"Seasonal",8.74669778892606,7.35637916629877,10.7850104633317
0.75,0.1,5,1.5,"BSV","Children",1,"Seasonal",7.0006100723046,6.00459878576368,8.39275639015758
1,0.1,5,1.5,"BSV","Children",1,"Seasonal",6.07131080421126,5.34118141380387,7.03266245107196
0,0.1,50,1.5,"BSV","Children",1,"Seasonal",NA,NA,NA
0.25,0.1,50,1.5,"BSV","Children",1,"Seasonal",8.28569453307186,6.98018044653937,10.1919019192656
0.5,0.1,50,1.5,"BSV","Children",1,"Seasonal",5.35310162525044,4.82487522379288,6.01120744796598
0.75,0.1,50,1.5,"BSV","Children",1,"Seasonal",4.51375992195384,4.14491778888923,4.95465808965525
