"Vaccine_type","half_life","Degree_resistance","Access","eir","seasonality","Age","Blood_coverage","IR"
"PEV",1,0.75,0.1,5,"sesonality1","0.75","1",71.8012659691603
"PEV",1,0.75,0.1,5,"sesonality2","0.75","1",70.4815098311248
"PEV",1,0.75,0.1,5,"sesonality1","18","1",29.80630935378
"PEV",1,0.75,0.1,5,"sesonality2","18","1",34.1116920946449
"PEV",1,1,0.1,5,"sesonality1","0.75","0",44.6303389101671
"PEV",1,1,0.1,5,"sesonality2","0.75","0",42.9067146826297
"PEV",1,1,0.1,5,"sesonality1","18","0",19.4865332493224
"PEV",1,1,0.1,5,"sesonality2","18","0",20.2127215601169
"PEV",1,1,0.1,5,"sesonality1","0.75","1",61.1350484416715
"PEV",1,1,0.1,5,"sesonality2","0.75","1",61.3458594460127
"PEV",1,1,0.1,5,"sesonality1","18","1",25.0565035455661
"PEV",1,1,0.1,5,"sesonality2","18","1",28.208342286847
"PEV",1,0,0.1,5,"sesonality1","0.75","0",83.3505703422054
"PEV",1,0,0.1,5,"sesonality2","0.75","0",80.1733222007889
"PEV",1,0,0.1,5,"sesonality1","18","0",40.6148621248986
"PEV",1,0,0.1,5,"sesonality2","18","0",43.2747359083945
"PEV",1,0,0.1,5,"sesonality1","0.75","1",93.0745620296535
"PEV",1,0,0.1,5,"sesonality2","0.75","1",90.740730043382
"PEV",1,0,0.1,5,"sesonality1","18","1",45.8448281993833
"PEV",1,0,0.1,5,"sesonality2","18","1",49.3941368829625
"PEV",1,0.25,0.1,5,"sesonality1","0.75","0",75.9000045627608
"PEV",1,0.25,0.1,5,"sesonality2","0.75","0",72.9975930809716
"PEV",1,0.25,0.1,5,"sesonality1","18","0",35.12979211971
"PEV",1,0.25,0.1,5,"sesonality2","18","0",37.89361518302
"PEV",1,0.25,0.1,5,"sesonality1","0.75","1",87.6353680174577
"PEV",1,0.25,0.1,5,"sesonality2","0.75","1",85.9756344122047
"PEV",1,0.25,0.1,5,"sesonality1","18","1",40.4924121182562
"PEV",1,0.25,0.1,5,"sesonality2","18","1",43.5575497868953
"PEV",1,0.5,0.1,5,"sesonality1","0.75","0",66.6132662786688
"PEV",1,0.5,0.1,5,"sesonality2","0.75","0",65.0205856102266
"PEV",1,0.5,0.1,5,"sesonality1","18","0",29.2759456198864
"PEV",1,0.5,0.1,5,"sesonality2","18","0",32.3591415438847
"PEV",1,0.5,0.1,5,"sesonality1","0.75","1",80.2668610935493
