"Test_True","Test_predicted","iteration","seasonality","Coverage_reduced","Age","Blood_coverage"
0.0355708230023228,0.0364017703089287,1,"sesonality1",0,18,0
0.0489247913299489,0.0499305469297448,1,"sesonality1",0,18,0
0.0259514339149114,0.0261199726409958,1,"sesonality1",0,18,0
0.0157869367935054,0.0170920213369628,1,"sesonality1",0,18,0
0.00650591326525945,0.00534436975764255,1,"sesonality1",0,18,0
0.0795827673341466,0.0803049717107137,1,"sesonality1",0,18,0
0.0347331044160859,0.0359576975228443,1,"sesonality1",0,18,0
0.143947682069345,0.136570436233465,1,"sesonality1",0,18,0
0.0613122414043011,0.0606872191576438,1,"sesonality1",0,18,0
0.0642197485655774,0.0656343659964864,1,"sesonality1",0,18,0
0.0087593205114128,0.012951513947014,1,"sesonality1",0,18,0
0.0987985038749111,0.105686456122468,1,"sesonality1",0,18,0
0.0782914056690904,0.0742192048025147,1,"sesonality1",0,18,0
0.0342198455112411,0.03947195121517,1,"sesonality1",0,18,0
0.0256802598257621,0.0250890496615873,1,"sesonality1",0,18,0
0.0725805718134109,0.0702916606355544,1,"sesonality1",0,18,0
0.0646649000418191,0.0650814412353954,1,"sesonality1",0,18,0
0.0564527905319155,0.0574128547933736,1,"sesonality1",0,18,1
0.075477228476335,0.0755896321211607,1,"sesonality1",0,18,1
0.0555538521685017,0.072651607070399,1,"sesonality1",0,18,1
0.0674578746690201,0.0697641999516651,1,"sesonality1",0,18,1
0.0742310686975153,0.0722134019642254,1,"sesonality1",0,18,1
0.0831780711883753,0.0828277592834436,1,"sesonality1",0,18,1
0.0164640705146452,0.00663139391158875,1,"sesonality1",0,18,1
0.00737867795752277,0.00757853777322594,1,"sesonality1",0,18,1
0.112104940546447,0.11467837851547,1,"sesonality1",0,18,1
0.0282398723765711,0.0263547479844224,1,"sesonality1",0,18,1
0.0860265642294671,0.0865003251587115,1,"sesonality1",0,18,1
0.00700227676950725,0.00873402163992155,1,"sesonality1",0,18,1
0.0449864263575426,0.0444863484543349,1,"sesonality1",0,18,1
0.0289547633249709,0.0303646880047538,1,"sesonality1",0,18,1
0.064931837406919,0.0629286897942898,1,"sesonality1",0,18,1
0.0640009139363016,0.0643547630847928,1,"sesonality1",0,18,1
0.0581285678041177,0.0548482632972618,1,"sesonality1",0,18,1
0.0581208986167434,0.0581085957668429,1,"sesonality1",0,18,1
0.0377387420408054,0.0381982510209901,1,"sesonality1",0,18,1
