"L","M","U","G","Vaccine_type","Range"
0.0832827092794703,0.132667741723624,0.174999417669461,"eir","BSV",261.034482758621
0.0828258651800021,0.135142273530325,0.178727276762869,"eir","BSV",278.103448275862
0.0809461857766041,0.136984663986513,0.179788687881009,"eir","BSV",295.172413793103
0.082701620186762,0.136435854609273,0.180472371958502,"eir","BSV",312.241379310345
0.085899103613073,0.140257329367502,0.185185264541825,"eir","BSV",329.310344827586
0.0863663240239104,0.140059398714968,0.18589260764493,"eir","BSV",346.379310344828
0.0896636035732377,0.144170419617634,0.18842063397774,"eir","BSV",363.448275862069
0.0885218645358311,0.143955413138943,0.190270111122904,"eir","BSV",380.51724137931
0.0924219385578452,0.147590636569262,0.192126492649943,"eir","BSV",397.586206896552
0.0894789982472408,0.146825706692524,0.193570927113116,"eir","BSV",414.655172413793
0.0893478022657534,0.148503298645245,0.194975067661496,"eir","BSV",431.724137931035
0.0914627344989742,0.150079695130466,0.197192982022862,"eir","BSV",448.793103448276
0.0942338772941291,0.151477858256501,0.200143561334569,"eir","BSV",465.862068965517
0.0977950175190862,0.155970364007565,0.205634923624932,"eir","BSV",482.931034482759
NA,NA,NA,"eir","BSV",500
0.0438290812276664,0.0909208132590519,0.13826291699776,"half_life","BSV",0.5
0.0464314899010024,0.0943123113750991,0.140957212736688,"half_life","BSV",0.53448275862069
0.0493906798189095,0.0976201967314563,0.145463755873883,"half_life","BSV",0.568965517241379
0.0507247426753776,0.0999733012193091,0.149032146986123,"half_life","BSV",0.603448275862069
0.0524982706933933,0.101740125604941,0.150061938759278,"half_life","BSV",0.637931034482759
0.0524721691651669,0.102677124357852,0.150994376982448,"half_life","BSV",0.672413793103448
0.0576457528142364,0.10746682339498,0.15567483525351,"half_life","BSV",0.706896551724138
0.057843285696809,0.108629363186911,0.158327247339826,"half_life","BSV",0.741379310344828
0.0578031109413225,0.109387562323557,0.158902695806711,"half_life","BSV",0.775862068965517
0.0604141571752448,0.112287092946375,0.163371397112083,"half_life","BSV",0.810344827586207
0.0599408244508619,0.112657533103336,0.161649225129066,"half_life","BSV",0.844827586206897
0.0602703396336748,0.114064940302396,0.164292565173206,"half_life","BSV",0.879310344827586
0.0652020734130435,0.115976006953891,0.16553632498571,"half_life","BSV",0.913793103448276
0.0641375926063593,0.117392633716883,0.167724859065158,"half_life","BSV",0.948275862068966
0.066598764463917,0.119144236395262,0.169478108389897,"half_life","BSV",0.982758620689655
0.0679516173483007,0.120606771631974,0.169904000994975,"half_life","BSV",1.01724137931034
0.0697987111887694,0.122660636709914,0.171344218298569,"half_life","BSV",1.05172413793103
0.0717267368415196,0.12360905493309,0.173412528509144,"half_life","BSV",1.08620689655172
0.0720517647643638,0.125013908391085,0.17393740516214,"half_life","BSV",1.12068965517241
0.0715371748521677,0.124549627526134,0.173774795739533,"half_life","BSV",1.1551724137931
