"Setting","Factor","First","Effect","Coverage_reduced","Seasonality","Vaccine_Type","SPAQ","half_life_short","deployment"
"Spread_sesonality2_Coverage_reduced_0","Access",0.0783626747449448,"First","0","sesonality2","BSV","1",0,"Seasonal + drugs"
"Spread_sesonality2_Coverage_reduced_0","eir",0.171299383385154,"First","0","sesonality2","BSV","1",0,"Seasonal + drugs"
"Spread_sesonality2_Coverage_reduced_0","half_life",0.0276141514787362,"First","0","sesonality2","BSV","1",0,"Seasonal + drugs"
"Spread_sesonality2_Coverage_reduced_0","Coverage",0.0580641937612964,"Total","0","sesonality2","BSV","1",0,"Seasonal + drugs"
"Spread_sesonality2_Coverage_reduced_0","initialEfficacy",0.0638805330333722,"Total","0","sesonality2","BSV","1",0,"Seasonal + drugs"
"Spread_sesonality2_Coverage_reduced_0","Degree_resistance",0.625189059921784,"Total","0","sesonality2","BSV","1",0,"Seasonal + drugs"
"Spread_sesonality2_Coverage_reduced_0","Access",0.0866503525025138,"Total","0","sesonality2","BSV","1",0,"Seasonal + drugs"
"Spread_sesonality2_Coverage_reduced_0","eir",0.194885893601267,"Total","0","sesonality2","BSV","1",0,"Seasonal + drugs"
"Spread_sesonality2_Coverage_reduced_0","half_life",0.0310146287650388,"Total","0","sesonality2","BSV","1",0,"Seasonal + drugs"
"Spread_sesonality1_Coverage_reduced_0","Coverage",0.0460087181427516,"First","0","sesonality1","AIV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0","initialEfficacy",0.113201827779615,"First","0","sesonality1","AIV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0","Degree_resistance",0.69194255042198,"First","0","sesonality1","AIV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0","Access",0.0286818889402767,"First","0","sesonality1","AIV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0","eir",0.0518741955873204,"First","0","sesonality1","AIV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0","half_life",0.0682908191280562,"First","0","sesonality1","AIV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0","Coverage",0.0600844743721842,"Total","0","sesonality1","AIV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0","initialEfficacy",0.129751998679694,"Total","0","sesonality1","AIV","0",1,"Perennial + short half-life"
