"Survey","nEPIVaccinations_1","nEPIVaccinations_2","nEPIVaccinations_3","nEPIVaccinations_4","nEPIVaccinations_5","nEPIVaccinations_6","nEPIVaccinations_7","nEPIVaccinations_8","nMassVaccinations_1","nMassVaccinations_2","nMassVaccinations_3","nMassVaccinations_4","nMassVaccinations_5","nMassVaccinations_6","nMassVaccinations_7","nMassVaccinations_8","Incidence"
215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2249194946743
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7117200805078
217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6061309800279
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8538473447902
219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3893791608608
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8447128038396
221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8533564528115
222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7914292791677
223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4107010156056
224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5650060377125
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1939559078524
226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9462472132772
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1416627960985
228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1634928007431
229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4421737111008
230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9157764359808
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2873509831243
232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0086700727667
233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.388902650483
234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2467178597969
235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3492800743149
236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.256386437529
237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7518191670537
238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4731382566961
239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8538473447902
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2345564328843
241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0701015605648
242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0517711171662
243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5655189497151
244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7604656923458
245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5746841714144
246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9554124349765
247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.31781025514
248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6056477582363
249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3711100789596
250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5751664344326
251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6061309800279
252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7117200805078
253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.729989162409
254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9685709862208
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5655189497151
256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.698538518702
257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9147908474471
258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5432393101526
259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4198662373049
260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.110230369086
261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.782783712649
262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4107010156056
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6492444884815
264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7513004706465
265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9863760217984
266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8132276442903
267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2776814466188
268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5746841714144
269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3274500696702
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3183155287196
271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6061309800279
272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1944573463384
273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3401455333643
274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7518191670537
275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2162873509831
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6279609846725
277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9685709862208
278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9467409815761
279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5751664344326
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9066418950302
281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0173396086203
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.596482536537
283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7203368838246
284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5442018888373
285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4421737111008
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7609537080043
287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4731382566961
288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8538473447902
289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3584146152655
290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3893791608608
291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.256386437529
292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4112091655055
293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8137482582443
294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5437205845925
295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1233937141972
296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6148129799356
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0792667822641
298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9772108000991
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.596482536537
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1629923210305
301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1634928007431
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.039634618362
303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3802446199102
304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1015637095526
305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2162873509831
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5350673478867
307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2868466683181
308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0701015605648
309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0391379737429
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1411939559079
311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9467409815761
312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9157764359808
313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3802446199102
314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9066418950302
315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.039634618362
316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9066418950302
317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4290314590042
318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9990091652217
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7203368838246
320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4198662373049
