"Survey","nHost_1","nHost_2","nHost_3","nHost_4","nHost_5","nHost_6","nHost_7","nHost_8","nInfect_1","nInfect_2","nInfect_3","nInfect_4","nInfect_5","nInfect_6","nInfect_7","nInfect_8","nExpectd_1","nExpectd_2","nExpectd_3","nExpectd_4","nExpectd_5","nExpectd_6","nExpectd_7","nExpectd_8","nPatent_1","nPatent_2","nPatent_3","nPatent_4","nPatent_5","nPatent_6","nPatent_7","nPatent_8","nTransmit","nTreatments1_1","nTreatments1_2","nTreatments1_3","nTreatments1_4","nTreatments1_5","nTreatments1_6","nTreatments1_7","nTreatments1_8","nUncomp_1","nUncomp_2","nUncomp_3","nUncomp_4","nUncomp_5","nUncomp_6","nUncomp_7","nUncomp_8","nEPIVaccinations_1","nEPIVaccinations_2","nEPIVaccinations_3","nEPIVaccinations_4","nEPIVaccinations_5","nEPIVaccinations_6","nEPIVaccinations_7","nEPIVaccinations_8","nMassVaccinations_1","nMassVaccinations_2","nMassVaccinations_3","nMassVaccinations_4","nMassVaccinations_5","nMassVaccinations_6","nMassVaccinations_7","nMassVaccinations_8","innoculationsPerAgeGroup_S1","innoculationsPerAgeGroup_R1","innoculationsPerAgeGroup_S2","innoculationsPerAgeGroup_R2","innoculationsPerAgeGroup_S3","innoculationsPerAgeGroup_R3","innoculationsPerAgeGroup_S4","innoculationsPerAgeGroup_R4","innoculationsPerAgeGroup_S5","innoculationsPerAgeGroup_R5","innoculationsPerAgeGroup_S6","innoculationsPerAgeGroup_R6","innoculationsPerAgeGroup_S7","innoculationsPerAgeGroup_R7","innoculationsPerAgeGroup_S8","innoculationsPerAgeGroup_R8","Vector_Nv","inputEIR","simulatedEIR","nMDAs_1","nMDAs_2","nMDAs_3","nMDAs_4","nMDAs_5","nMDAs_6","nMDAs_7","nMDAs_8","nTreatDiagnostics_1","nTreatDiagnostics_2","nTreatDiagnostics_3","nTreatDiagnostics_4","nTreatDiagnostics_5","nTreatDiagnostics_6","nTreatDiagnostics_7","nTreatDiagnostics_8","nInfectByGenotype_S1","nInfectByGenotype_R1","nInfectByGenotype_S2","nInfectByGenotype_R2","nInfectByGenotype_S3","nInfectByGenotype_R3","nInfectByGenotype_S4","nInfectByGenotype_R4","nInfectByGenotype_S5","nInfectByGenotype_R5","nInfectByGenotype_S6","nInfectByGenotype_R6","nInfectByGenotype_S7","nInfectByGenotype_R7","nInfectByGenotype_S8","nInfectByGenotype_R8","nPatentByGenotype_S1","nPatentByGenotype_R1","nPatentByGenotype_S2","nPatentByGenotype_R2","nPatentByGenotype_S3","nPatentByGenotype_R3","nPatentByGenotype_S4","nPatentByGenotype_R4","nPatentByGenotype_S5","nPatentByGenotype_R5","nPatentByGenotype_S6","nPatentByGenotype_R6","nPatentByGenotype_S7","nPatentByGenotype_R7","nPatentByGenotype_S8","nPatentByGenotype_R8","nHostDrugConcNonZero_A1","nHostDrugConcNonZero_B1","nHostDrugConcNonZero_A2","nHostDrugConcNonZero_B2","nHostDrugConcNonZero_A3","nHostDrugConcNonZero_B3","nHostDrugConcNonZero_A4","nHostDrugConcNonZero_B4","nHostDrugConcNonZero_A5","nHostDrugConcNonZero_B5","nHostDrugConcNonZero_A6","nHostDrugConcNonZero_B6","nHostDrugConcNonZero_A7","nHostDrugConcNonZero_B7","nHostDrugConcNonZero_A8","nHostDrugConcNonZero_B8","sumLogDrugConcNonZero_A1","sumLogDrugConcNonZero_B1","sumLogDrugConcNonZero_A2","sumLogDrugConcNonZero_B2","sumLogDrugConcNonZero_A3","sumLogDrugConcNonZero_B3","sumLogDrugConcNonZero_A4","sumLogDrugConcNonZero_B4","sumLogDrugConcNonZero_A5","sumLogDrugConcNonZero_B5","sumLogDrugConcNonZero_A6","sumLogDrugConcNonZero_B6","sumLogDrugConcNonZero_A7","sumLogDrugConcNonZero_B7","sumLogDrugConcNonZero_A8","sumLogDrugConcNonZero_B8","Incidence"
2141,4785,49,1625,3232,3146,3077,2271,81815,159,7,327,601,553,587,428,29936,402.625,28.7187,1069.19,2672.9,3014.64,3049.48,2266.36,81813.5,66,5,92,126,97,97,63,2493,0.00200696,0,0,0,2,3,2,1,23,1,0,5,8,5,8,3,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98518,2.97428,0.0327622,0.0326425,1.15537,1.15115,2.66878,2.65903,3.00482,2.99385,3.22998,3.21818,2.56958,2.56019,193.494,192.787,2645550,0.00444041,0.00553383,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,23,85,84,1,6,177,187,322,322,303,283,310,317,225,229,16856,17022,20,19,0,3,30,24,37,39,35,23,30,32,21,23,765,752,2,15,0,1,1,8,0,18,2,29,1,17,2,17,30,270,-44.3932,-44.0178,0,-1.1846,-11.6519,-28.5032,0,-80.5535,-63.4834,-151.82,-31.6822,-90.206,-63.2477,-75.0906,-599.714,-1144.55,1.64971130052241
2142,4785,49,1625,3233,3145,3078,2269,81816,151,8,325,593,542,567,411,29149,376.278,27.9574,1065.71,2664.21,3011.24,3049.92,2264.26,81814.5,61,2,89,117,85,105,57,2331,0.0020036,2,0,0,3,2,3,1,19,2,0,3,8,3,5,2,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40598,3.31877,0.0373804,0.0364233,1.31825,1.28449,3.04691,2.96889,3.42736,3.33961,3.68653,3.59214,2.9292,2.8542,220.771,215.118,3335800,0.00482928,0.00624447,0,0,0,0,0,0,0,0,2,0,0,3,2,3,1,19,78,82,6,3,174,189,316,319,299,275,299,306,217,221,16373,16478,20,24,1,2,30,25,36,37,32,29,35,35,16,18,764,737,1,15,0,0,0,8,3,18,3,28,2,15,1,17,41,266,-32.0843,-56.0178,0,0,0,-36.9884,-55.3285,-69.1532,-35.8346,-139.93,-23.9932,-76.0235,-11.9944,-72.4873,-854.339,-1126.74,1.26484821821381
2143,4785,49,1625,3231,3146,3080,2268,81816,140,12,323,573,535,553,405,28467,352.023,27.086,1061.66,2652.94,3009.67,3051.35,2263.16,81814.4,61,6,98,108,81,99,55,2301,0.00199866,0,0,1,1,1,3,2,22,5,0,4,4,5,8,5,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99155,3.80694,0.0438162,0.0417897,1.54519,1.47372,3.57028,3.40516,4.01862,3.83275,4.32268,4.12276,3.43207,3.27334,258.779,246.81,4193270,0.00532556,0.00724304,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,24,73,74,5,9,174,188,308,306,298,270,293,297,212,218,15929,16030,25,21,0,3,22,28,35,33,33,29,39,34,19,24,745,759,2,13,0,0,0,7,5,19,4,22,6,15,2,16,42,246,-23.8457,-39.1483,0,0,0,-37.2802,-99.1503,-67.18,-87.2137,-97.6203,-130.962,-51.6269,-43.6876,-68.9012,-966.844,-1002.82,1.70479542454905
2144,4785,49,1625,3232,3146,3079,2268,81816,139,5,328,575,513,540,398,27897,330.22,26.1074,1057,2644.6,3007.34,3049.84,2263.05,81814.4,56,1,95,111,89,97,60,2350,0.00195999,1,0,0,0,2,2,0,20,5,0,2,5,3,11,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78731,4.54327,0.0525404,0.0498621,1.85287,1.75842,4.28121,4.06297,4.81881,4.57317,5.18339,4.91917,4.1154,3.90562,310.307,294.489,5238170,0.00595985,0.00866418,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,21,72,73,3,4,176,191,308,307,280,263,283,294,210,211,15556,15670,17,16,0,1,25,29,37,38,28,23,42,33,25,16,770,763,2,13,0,0,1,8,4,19,3,17,6,18,3,16,41,240,-63.4457,-49.5483,0,0,-11.6704,-41.9981,-106.943,-72.8809,-75.1912,-64.2648,-130.731,-61.653,-55.4667,-64.0847,-874.415,-955.274,1.64980202375715
2145,4785,49,1625,3230,3148,3077,2270,81816,139,11,324,580,512,536,404,27429,311.505,25.0305,1051.62,2633.83,3006.9,3047.33,2264.95,81814.4,51,7,92,118,78,102,57,2397,0.00196462,1,0,0,1,0,1,2,31,2,0,2,7,4,8,7,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.80745,5.61585,0.0637364,0.0616336,2.24637,2.17226,5.19172,5.02043,5.84736,5.65444,6.28368,6.07636,4.99658,4.83173,376.431,364.012,6481900,0.00677244,0.0106074,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,31,69,74,8,5,172,189,312,310,274,270,278,295,216,211,15269,15363,21,15,4,2,26,30,46,36,21,30,34,38,24,15,791,806,1,14,0,0,1,6,1,16,3,18,5,16,2,13,42,227,-11.7737,-59.1696,0,0,-31.4704,-31.2041,-31.6693,-62.8582,-55.6938,-68.5236,-119.321,-41.8251,-63.3735,-52.3299,-943.9,-860.246,1.64980202375715
2146,4785,49,1625,3230,3147,3078,2270,81816,138,5,325,580,507,520,395,27112,296.264,23.8706,1045.64,2625.49,3003.76,3047.83,2264.85,81814.4,47,1,102,112,82,98,56,2433,0.00204552,3,0,0,0,2,2,1,30,2,0,3,6,6,10,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0586,7.01588,0.0774839,0.0770149,2.73077,2.71424,6.30936,6.27117,7.11076,7.06772,7.64154,7.59529,6.07163,6.03488,457.624,454.855,7921090,0.00781659,0.013072,0,0,0,0,0,0,0,0,3,0,0,0,2,2,1,30,73,70,2,3,179,185,310,315,271,269,272,283,213,204,15072,15199,19,14,0,0,32,31,42,43,22,32,37,38,24,23,800,820,2,14,0,1,0,5,1,14,2,15,3,14,2,15,51,233,-43.2806,-62.3083,0,-7.21565,0,-27.1962,-11.7802,-50.1912,-63.6024,-57.6049,-75.5998,-35.9093,-24.2458,-55.2645,-1013.34,-817.465,1.53981522217334
2147,4785,49,1625,3230,3146,3078,2271,81816,146,5,320,589,509,500,405,27034,285.11,22.646,1038.98,2617.71,3000.72,3047.36,2265.76,81814.3,54,1,111,120,84,98,65,2533,0.00209045,1,0,0,2,2,2,3,22,7,0,3,5,5,2,8,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.62886,8.70942,0.0947211,0.0956055,3.34033,3.37152,7.71301,7.78502,8.68695,8.76806,9.34135,9.42856,7.42555,7.49488,559.429,564.652,9531660,0.00916276,0.0161034,0,0,0,0,0,0,0,0,1,0,0,2,2,2,3,22,77,74,2,3,177,182,316,316,272,267,259,272,219,209,15007,15155,17,19,0,0,36,29,44,45,28,38,38,31,24,18,870,902,4,15,0,0,0,5,1,12,2,15,3,15,3,13,61,227,-67.636,-54.689,0,0,0,-30.754,-31.5802,-44.1195,-23.702,-51.118,-55.3666,-37.7371,-75.9707,-40.8418,-1351.27,-686.927,1.64980202375715
2148,4785,49,1625,3229,3148,3077,2271,81816,153,9,319,596,515,504,390,27129,278.619,21.3799,1031.72,2609.56,3000.8,3045.97,2265.68,81814.3,48,6,108,123,100,105,59,2725,0.0021854,0,0,2,3,1,2,2,42,3,1,7,4,8,11,6,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6904,10.8653,0.117377,0.119297,4.13933,4.20703,9.55789,9.71423,10.7681,10.9442,11.5719,11.7611,9.20564,9.35622,693.237,704.577,11264200,0.010904,0.0200248,0,0,0,0,0,0,0,0,0,0,2,3,1,2,2,42,82,77,4,5,178,180,310,326,276,268,262,276,209,202,15108,15156,14,17,1,3,36,29,41,42,33,43,41,36,26,21,937,977,4,14,0,0,0,1,2,13,4,17,4,16,4,15,52,236,-107.253,-48.6632,0,0,0,-2.31788,-23.5064,-44.8153,-87.2107,-65.9138,-87.2909,-34.1917,-67.407,-40.8261,-1220.81,-748.557,2.1997360316762
2149,4785,49,1625,3228,3152,3074,2271,81816,151,8,328,606,517,499,402,27374,277.868,20.0991,1023.87,2602.5,3003.09,3042.67,2265.61,81814.3,45,2,102,130,109,104,64,2960,0.00236581,0,0,2,0,1,1,2,22,5,0,1,9,10,6,10,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3572,13.5567,0.146594,0.148785,5.16967,5.24692,11.9329,12.1112,13.466,13.6672,14.4387,14.6545,11.4971,11.6689,865.796,878.732,13042300,0.0131628,0.0249918,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,22,79,79,5,3,182,184,321,329,279,268,261,274,215,208,15248,15317,16,20,1,0,35,32,46,46,35,44,41,37,30,23,1045,1087,1,13,0,0,2,3,5,16,3,13,4,17,5,17,64,257,-31.5241,-51.4349,0,0,-23.6022,-1.61513,-99.0528,-53.5042,-75.586,-37.6305,-87.2253,-42.3654,-119.015,-46.9669,-1211.36,-744.309,2.2547294324681
2150,4785,49,1625,3229,3150,3075,2271,81816,171,4,332,619,535,512,411,27869,283.279,18.8358,1015.71,2598.35,2999.91,3043.36,2265.55,81814.3,53,3,116,133,110,111,72,3342,0.00262916,2,0,0,2,1,2,0,29,6,0,5,12,17,7,9,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6121,16.7667,0.182354,0.184052,6.4307,6.49057,14.8439,14.9821,16.7454,16.9013,17.9664,18.1336,14.3017,14.4349,1077,1087.02,14765800,0.0160984,0.0310013,0,0,0,0,0,0,0,0,2,0,0,2,1,2,0,30,82,96,2,3,183,185,328,337,288,275,272,279,218,215,15567,15598,20,24,1,1,38,36,39,54,43,45,43,43,29,27,1192,1236,0,10,0,1,4,5,3,14,2,14,3,18,4,18,64,263,0,-44.0191,0,-0.771638,-87.4477,-3.15563,-95.3464,-49.5148,-43.9907,-47.5912,-75.1012,-55.1757,-87.4958,-57.2523,-1607.92,-799.249,3.07963044434668
2151,4785,49,1625,3230,3147,3078,2270,81816,191,2,344,632,549,529,429,28584,295.978,17.6316,1007.3,2595.56,2996.12,3046.12,2264.51,81814.3,61,1,124,150,119,104,81,3807,0.00288269,5,0,1,4,1,3,2,50,13,0,3,14,8,9,7,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5678,20.8967,0.22573,0.22934,7.96046,8.08775,18.3809,18.6748,20.7154,21.0467,22.2542,22.61,17.6961,17.979,1333.18,1354.5,16319600,0.0199158,0.0385031,0,0,0,0,0,0,0,0,5,0,1,4,1,3,2,50,92,106,1,1,190,191,333,346,290,287,288,281,223,228,16050,16004,24,27,1,0,45,36,51,54,50,44,46,45,42,29,1369,1452,2,10,0,0,2,6,2,15,2,13,3,20,2,17,51,280,-23.8186,-33.2333,0,0,-63.8455,-8.72726,-23.773,-50.59,-43.9393,-47.3272,-55.1555,-68.2469,-63.3628,-57.7726,-1053.54,-898.172,2.96964364276287
2152,4785,49,1625,3231,3146,3078,2270,81816,213,7,350,651,585,564,446,29585,317.128,16.5329,999.134,2594.42,2994.7,3046.02,2264.49,81814.3,67,4,129,149,146,116,96,4354,0.00327704,1,0,1,5,5,9,3,54,8,2,12,15,8,10,8,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5098,26.2831,0.279969,0.288455,9.87323,10.1725,22.8051,23.4963,25.6769,26.4552,27.6101,28.447,21.948,22.6133,1653.52,1703.63,17586500,0.0248733,0.0480938,0,0,0,0,0,0,0,0,1,0,1,5,5,9,3,54,106,113,3,5,196,193,342,361,314,301,307,299,234,239,16647,16624,31,29,1,3,48,43,57,65,68,54,43,46,40,38,1644,1689,7,13,0,1,1,4,6,22,2,13,5,23,2,18,79,310,-123.105,-26.0469,0,-3.57828,-11.8045,-4.44082,-110.454,-67.7992,-43.6502,-48.1892,-99.1594,-82.5561,-23.9716,-61.4317,-1529.96,-936.122,3.46458424989001
2153,4785,49,1625,3230,3147,3078,2270,81816,243,10,361,677,627,587,483,30805,347.84,15.5821,991.374,2593.46,2995.68,3046.04,2264.49,81814.3,60,5,147,181,148,119,113,5132,0.00392936,0,0,1,6,1,1,2,61,10,0,7,21,19,13,17,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4196,32.9697,0.344828,0.361841,12.1605,12.7605,28.0881,29.4739,31.6249,33.1852,34.0072,35.685,27.0208,28.3539,2036.58,2137.05,18464100,0.0312883,0.0597906,0,0,0,0,0,0,0,0,0,0,1,6,1,1,2,61,119,130,5,5,195,206,351,383,344,319,322,309,257,255,17405,17472,31,26,4,2,43,56,61,68,78,49,48,48,44,44,1975,1996,6,13,0,0,2,6,9,24,6,16,11,28,6,21,104,342,-170.874,-31.5948,0,0,-43.493,-11.3552,-185.766,-57.0505,-91.2947,-39.0884,-190.704,-71.2166,-111.258,-65.0659,-2249.88,-977.411,4.78442586889573
2154,4785,49,1625,3231,3146,3077,2271,81816,296,4,382,714,679,638,533,32309,388.725,14.8188,984.635,2596.47,2995.41,3045.2,2265.51,81814.3,76,1,146,189,182,148,136,6063,0.0046664,0,0,2,6,9,3,9,91,9,0,8,24,21,19,13,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3291,40.9292,0.420747,0.449289,14.8378,15.8444,34.273,36.5979,38.5889,41.2066,41.4808,44.2947,32.9842,35.2217,2484.96,2653.53,18880000,0.0395364,0.073613,0,0,0,0,0,0,0,0,0,0,2,6,9,3,9,91,149,154,3,1,210,216,370,405,376,340,346,344,281,287,18433,18446,37,29,0,0,52,50,78,84,78,58,61,54,54,57,2354,2402,1,12,0,0,2,7,11,29,6,16,9,26,6,21,114,383,-31.9873,-33.5416,0,0,-43.3439,-15.258,-230.024,-64.1048,-170.422,-43.0059,-265.543,-68.3838,-150.525,-71.3454,-2453.38,-1062.38,5.16937967443907
2155,4786,49,1624,3231,3147,3077,2270,81816,345,7,395,764,720,711,574,34153,441.555,14.2848,978.878,2601.18,2997.7,3045.52,2264.57,81814.3,96,3,150,205,193,185,150,7077,0.00557007,4,0,2,5,4,5,5,113,13,0,10,27,20,27,25,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.4446,50.5337,0.520811,0.554721,18.3559,19.5511,42.4236,45.1858,47.7809,50.892,51.3462,54.6893,40.8289,43.4873,3075.94,3276.22,18802900,0.0500403,0.0909998,0,0,0,0,0,0,0,0,4,0,2,5,4,5,5,113,167,187,5,2,216,223,399,426,395,364,388,388,304,308,19673,19623,45,38,0,1,61,51,76,88,89,67,85,69,63,67,2773,2771,0,11,0,0,3,9,12,32,10,23,4,28,11,26,151,453,0,-34.4541,0,0,-55.4142,-19.7118,-262.106,-57.9937,-138.943,-40.4147,-67.6395,-72.8654,-170.277,-49.0654,-3015.75,-1149.74,6.70919489661241
2156,4785,49,1625,3230,3148,3076,2271,81816,406,8,412,814,771,766,612,36312,506.856,14.0132,975.916,2607.88,3000.73,3045,2265.65,81814.4,105,7,160,235,230,223,186,8354,0.00662642,3,0,5,9,4,6,9,124,18,0,16,17,35,32,31,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.9852,62.2369,0.647215,0.682894,22.8109,24.0684,52.7203,55.6266,59.3771,62.6504,63.7866,67.303,50.7602,53.5585,3822.44,4033.16,18247100,0.0632414,0.112539,0,0,0,0,0,0,0,0,3,0,5,9,4,6,9,127,204,212,6,3,226,233,431,455,426,394,411,428,316,337,21111,21070,43,47,3,1,57,54,89,100,110,85,110,86,70,87,3262,3350,4,14,0,1,4,11,11,36,13,24,8,31,14,32,203,543,-47.6361,-32.6589,0,-8.02123,-87.084,-25.332,-250.873,-72.4194,-333.619,-38.2161,-154.884,-74.499,-345.057,-69.562,-4259.76,-1279.89,8.19401671799384
2157,4785,49,1625,3230,3147,3077,2271,81816,479,5,436,879,842,841,672,38715,585.313,14.0184,974.99,2618.52,3002.62,3046.64,2265.77,81814.4,125,4,166,272,273,272,204,9756,0.00787873,9,0,5,18,6,6,7,122,18,0,11,34,31,38,29,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0111,75.8782,0.790317,0.832759,27.8708,29.3675,64.3554,67.8114,72.5277,76.4226,77.8893,82.0722,61.9827,65.3113,4667.6,4918.26,17268900,0.0795481,0.137327,0,0,0,0,0,0,0,0,9,0,5,18,6,6,7,123,238,255,2,3,241,248,466,498,471,432,446,478,350,378,22723,22747,54,60,1,3,70,57,102,116,125,95,116,107,87,91,3885,3908,7,16,0,0,6,14,15,46,8,28,11,37,14,39,236,637,-162.981,-39.2411,0,0,-110.384,-25.9356,-278.635,-95.0234,-174.665,-54.6437,-229.991,-95.5241,-265.677,-72.3081,-5079.83,-1410.78,8.8539375274967
2158,4785,49,1625,3230,3147,3078,2270,81816,559,8,451,949,935,938,732,41224,675.755,14.2976,976.721,2632.11,3006.24,3048.44,2264.92,81814.4,145,4,183,294,301,315,254,11427,0.00940375,7,0,7,10,9,4,4,173,28,1,18,41,46,54,37,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.1988,90.9983,0.946225,0.998911,33.3484,35.2052,77.026,81.3148,86.8058,91.6392,93.3159,98.5117,74.1792,78.3095,5588.47,5899.63,15956300,0.0992571,0.164576,0,0,0,0,0,0,0,0,7,0,7,10,9,4,4,173,267,312,4,4,254,254,500,544,522,483,500,532,395,412,24463,24590,62,77,2,2,83,69,133,126,152,122,145,137,111,106,4682,4670,11,23,0,0,9,18,28,62,10,35,12,40,16,46,246,727,-191.749,-39.0713,0,0,-185.223,-24.7589,-532.049,-109.943,-198.319,-75.2372,-261.849,-96.0251,-368.922,-99.5034,-5435.96,-1604.96,12.3735151781786
2159,4785,49,1625,3230,3147,3079,2270,81815,665,10,462,1047,1023,1038,795,43864,776.093,14.8311,981.291,2648.27,3010.54,3050.41,2265.1,81813.5,176,5,194,367,354,364,289,13394,0.011134,9,0,11,9,13,14,14,209,39,0,29,53,60,55,50,1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.225,106.433,1.11117,1.16834,39.1855,41.2016,90.4819,95.1371,101.94,107.185,109.585,115.223,87.0735,91.5534,6562.63,6900.27,14415100,0.122448,0.192868,0,0,0,0,0,0,0,0,9,0,11,9,13,14,14,210,324,369,4,8,257,263,568,589,567,547,556,590,425,460,26382,26498,75,83,3,2,82,76,156,156,169,141,164,182,140,131,5555,5514,13,26,0,1,11,23,28,72,16,42,9,41,12,48,295,878,-294.566,-43.3346,0,-1.52887,-208.949,-29.1771,-689.938,-154.785,-329.431,-71.1055,-205.889,-108.647,-302.034,-109.116,-5989.42,-1925.16,15.727247731647
2160,4785,49,1625,3232,3145,3078,2270,81816,771,8,489,1143,1106,1091,853,46315,883.803,15.587,988.12,2668.65,3013.48,3050.48,2265.29,81814.6,219,2,214,392,423,423,336,15378,0.0133798,11,0,7,17,17,25,12,265,34,1,25,55,50,62,56,1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.33,121.603,1.27726,1.33514,44.9872,47.0261,104.072,108.789,117.066,122.372,125.963,131.672,100.131,104.669,7543.46,7885.34,12753700,0.148864,0.221033,0,0,0,0,0,0,0,0,11,0,7,17,17,25,12,265,373,433,5,3,275,275,625,645,609,606,600,623,459,499,28285,28343,90,94,2,0,86,93,178,191,203,171,197,202,156,165,6340,6341,13,32,1,2,18,34,19,76,22,53,18,54,18,59,382,1045,-275.402,-60.1285,-11.7471,0.0453965,-351.639,-33.3502,-424.022,-163.954,-439.704,-85.9897,-293.235,-117.675,-293.697,-113.155,-8056.87,-2186.39,15.5631324241091
2161,4785,49,1625,3230,3146,3079,2270,81816,865,13,531,1219,1193,1180,914,48906,995.939,16.5249,997.709,2686.98,3019.61,3052.63,2265.51,81814.6,258,1,229,460,487,497,378,17486,0.0160376,14,0,5,17,20,21,18,288,46,0,28,75,72,67,58,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.55,136.152,1.43308,1.49458,50.5362,52.705,116.73,121.74,131.427,137.067,141.328,147.393,112.346,117.167,8463.71,8826.93,11071000,0.177798,0.247706,0,0,0,0,0,0,0,0,14,0,5,17,20,21,18,292,439,467,3,10,295,301,667,692,669,662,647,688,503,536,30255,30395,109,123,1,1,98,101,198,225,243,210,228,240,171,178,7411,7436,17,39,0,2,18,40,27,92,30,70,39,79,25,65,475,1297,-343.676,-75.3826,0,-3.20538,-451.747,-49.2683,-499.342,-194.247,-615.591,-112.933,-742.19,-145.466,-574.864,-130.553,-9893.04,-2769.64,19.0277166739991
2162,4785,49,1625,3231,3146,3078,2270,81816,942,15,559,1299,1274,1252,995,51290,1109.7,17.6015,1009.22,2709.1,3025.11,3052.85,2265.73,81814.7,303,6,247,550,552,555,426,19909,0.0189613,18,0,11,25,24,19,17,296,47,1,35,80,90,78,53,1647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.762,149.057,1.57778,1.63589,55.6393,57.6887,128.474,133.206,144.651,149.979,155.599,161.331,123.637,128.191,9318.13,9661.35,9447620,0.208021,0.271905,0,0,0,0,0,0,0,0,18,0,11,25,24,19,17,296,479,522,10,6,316,312,729,745,726,707,700,734,563,578,32235,32319,127,143,4,2,108,116,233,263,280,248,251,274,190,219,8497,8493,23,51,0,0,11,45,34,109,38,89,46,99,28,79,555,1555,-453.623,-89.2875,0,0,-249.995,-78.2442,-741.427,-252.64,-811.226,-144.642,-1043.93,-182.987,-552.379,-155.878,-11993,-3415.1,21.1174659040915
2163,4785,49,1625,3229,3148,3079,2269,81816,1026,13,599,1379,1350,1336,1056,53530,1222.69,18.7769,1022.26,2729.29,3032.62,3055.07,2264.95,81814.8,347,9,274,600,628,624,477,22294,0.0218591,16,0,7,27,24,38,24,345,71,2,33,88,99,98,70,1843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.649,160.174,1.7086,1.75827,60.2539,62.0055,139.076,143.119,156.74,161.296,168.498,173.397,133.889,137.781,10091.1,10384.5,7942250,0.237795,0.293329,0,0,0,0,0,0,0,0,16,0,7,27,24,38,24,346,511,588,6,7,343,334,767,802,779,767,764,790,609,624,34149,34320,156,168,5,4,125,133,267,290,295,287,304,310,216,256,9622,9780,32,63,0,3,16,51,42,134,44,114,40,112,33,95,585,1804,-660.361,-87.5383,0,-6.87287,-288.577,-95.2833,-836.622,-295.181,-922.244,-211.398,-893.696,-215.749,-731.881,-202.944,-12798,-4131.69,25.3519577650682
2164,4785,49,1625,3230,3147,3077,2271,81816,1093,10,631,1453,1394,1404,1091,55452,1332.38,20.0099,1036.41,2752.43,3037.27,3054.32,2267.17,81814.8,403,7,314,662,701,691,537,24663,0.025097,22,0,9,23,22,17,29,391,59,0,38,86,107,91,75,1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.151,168.762,1.81292,1.85255,63.9332,65.3308,147.618,150.845,166.257,169.891,178.726,182.633,142.122,145.229,10706.6,10940.7,6591350,0.264993,0.310132,0,0,0,0,0,0,0,0,22,0,9,23,22,17,29,394,561,620,4,8,353,364,816,845,809,815,802,841,641,640,35980,36133,177,191,2,3,148,147,304,329,320,337,331,343,250,272,10731,10791,32,72,1,2,17,58,52,155,48,135,58,142,40,115,642,2093,-720.756,-99.8443,-31.869,-3.18524,-419.824,-126.61,-1095.01,-337.619,-1068.8,-259.599,-1069.39,-218.696,-794.504,-224.609,-13664.3,-4955.63,25.0769907611087
